"filename", "language", "Markdown", "Docker", "Python", "reStructuredText", "YAML", "pip requirements", "Shell Script", "JSON", "Makefile", "comment", "blank", "total"
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\on_pr.yml", "YAML", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 22, 125
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\utils\check_job_on_list.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\utils\config_files\lithops_config_CE_COS.yaml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\utils\config_files\lithops_config_CF_COS.yaml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\utils\config_files\lithops_config_LOCAL.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\asus\Desktop\ADSL\lithops-master\.github\workflows\utils\config_fill_secrets.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 9, 27
"c:\Users\asus\Desktop\ADSL\lithops-master\CHANGELOG.md", "Markdown", 937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 317, 1254
"c:\Users\asus\Desktop\ADSL\lithops-master\CONTRIBUTING.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"c:\Users\asus\Desktop\ADSL\lithops-master\README.md", "Markdown", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 253
"c:\Users\asus\Desktop\ADSL\lithops-master\config\README.md", "Markdown", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 154
"c:\Users\asus\Desktop\ADSL\lithops-master\config\config_template.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 18, 169
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\Dockerfile", "Docker", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 11, 26
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 5, 21
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\api_futures.md", "Markdown", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 421
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\api_storage.md", "Markdown", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 322
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\conf.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 68, 33, 144
